k, Time elapsed
0, 5.8
1, 7.0
2, 8.6
3, 6.6
4, 8.0
5, 7.6
6, 6.0
7, 6.4
8, 7.8
9, 7.4
10, 7.2
11, 6.2
12, 6.6
13, 6.6
14, 6.6
15, 7.2
