NumberOfHashFunctions, k, JaccardSimilarity
1, 0, 100.0
1, 1, 100.0
1, 2, 100.0
1, 3, 100.0
1, 4, 40.0
1, 5, 100.0
1, 6, 20.0
1, 7, 40.0
1, 8, 20.0
1, 9, 0.0
1, 10, 0.0
1, 11, 60.0
1, 12, 0.0
1, 13, 60.0
1, 14, 40.0
1, 15, 0.0
