k, Jaccard Similarity
0, 100
1, 100
2, 100
3, 79.878
4, 57.7295
5, 41.649
6, 28.4895
7, 17.7504
8, 10.0494
9, 5.37975
10, 2.62751
11, 1.22324
12, 0.609756
13, 0.458015
14, 0.30581
15, 0.153139
