NumberOfHashFunctions, k, JaccardSimilarity
650, 18, 0.461538
650, 19, 0.461538
650, 20, 0.615385
700, 0, 100
700, 1, 100
700, 2, 100
700, 3, 95.7143
700, 4, 83.7143
700, 5, 62.1429
700, 6, 36.2857
700, 7, 26.5714
700, 8, 15.8571
700, 9, 10.2857
700, 10, 6.28571
700, 11, 2.71429
700, 12, 1.42857
700, 13, 1.85714
700, 14, 0.714286
700, 15, 0.571429
700, 16, 0.285714
700, 17, 0.142857
700, 18, 0.428571
700, 19, 0.428571
700, 20, 0.428571
750, 0, 100
750, 1, 100
750, 2, 100
750, 3, 97.0667
750, 4, 84.1333
750, 5, 66.1333
750, 6, 36
750, 7, 27.8667
750, 8, 14.4
750, 9, 8.4
750, 10, 6.93333
750, 11, 4.93333
750, 12, 1.86667
750, 13, 1.73333
750, 14, 0.8
750, 15, 0.4
750, 16, 0.933333
750, 17, 0.133333
750, 18, 0.4
750, 19, 0.4
750, 20, 0.4
800, 0, 100
800, 1, 100
800, 2, 100
800, 3, 95
800, 4, 82.875
800, 5, 62.25
800, 6, 41
800, 7, 26.125
800, 8, 13.25
800, 9, 7.625
800, 10, 7.5
800, 11, 2.75
800, 12, 1.5
800, 13, 1.25
800, 14, 1
800, 15, 0.375
800, 16, 0.25
800, 17, 0.125
800, 18, 0.375
800, 19, 0.5
800, 20, 0.375
850, 0, 100
850, 1, 100
850, 2, 100
850, 3, 96.7059
850, 4, 84.5882
850, 5, 63.0588
850, 6, 39.5294
850, 7, 25.6471
850, 8, 15.7647
850, 9, 10.5882
850, 10, 5.41176
850, 11, 4
850, 12, 2.94118
850, 13, 1.52941
850, 14, 1.64706
850, 15, 0
850, 16, 0.117647
850, 17, 0.117647
850, 18, 0.470588
850, 19, 0.352941
850, 20, 0.235294
900, 0, 100
900, 1, 100
900, 2, 100
900, 3, 97.1111
900, 4, 87.1111
900, 5, 59.6667
900, 6, 40.1111
900, 7, 26.5556
900, 8, 12.7778
900, 9, 10.3333
900, 10, 7.44444
900, 11, 4.88889
900, 12, 1.55556
900, 13, 2.22222
900, 14, 1.11111
900, 15, 0.222222
900, 16, 0.222222
900, 17, 0.555556
900, 18, 0.333333
900, 19, 0.333333
900, 20, 0.444444
950, 0, 100
950, 1, 100
950, 2, 100
950, 3, 96.1053
950, 4, 85.5789
950, 5, 65.3684
950, 6, 41.3684
950, 7, 28.8421
950, 8, 13.6842
950, 9, 9.36842
950, 10, 8.73684
950, 11, 4.21053
950, 12, 2.10526
950, 13, 1.78947
950, 14, 0.842105
950, 15, 0.421053
950, 16, 0.315789
950, 17, 0.105263
950, 18, 0.315789
950, 19, 0.315789
950, 20, 0.315789
