NumberOfHashFunctions, k, JaccardSimilarity
800, 13, 1.275
800, 14, 0.925
800, 15, 0.375
850, 0, 100.0
850, 1, 100.0
850, 2, 99.88236
850, 3, 81.67060000000001
850, 4, 58.89412
850, 5, 42.84706
850, 6, 29.59998
850, 7, 18.588260000000002
850, 8, 10.917646
850, 9, 6.8
850, 10, 3.670588
850, 11, 2.3058799999999997
850, 12, 1.7882348000000001
850, 13, 1.1764698
850, 14, 0.799999
850, 15, 0.35294100000000006
900, 0, 100.0
900, 1, 100.0
900, 2, 99.77778
900, 3, 80.82221999999999
900, 4, 58.200019999999995
900, 5, 42.2222
900, 6, 29.377779999999994
900, 7, 18.0
900, 8, 10.799992
900, 9, 6.5111099999999995
900, 10, 3.555554
900, 11, 2.222222
900, 12, 1.5777776
900, 13, 1.1111104
900, 14, 0.7777788
900, 15, 0.5333334
950, 0, 100.0
950, 1, 100.0
950, 2, 99.70526
950, 3, 79.30528
950, 4, 58.23158000000001
950, 5, 42.27368
950, 6, 30.336840000000002
950, 7, 19.684220000000003
950, 8, 11.178944
950, 9, 5.9789460000000005
950, 10, 3.85263
950, 11, 2.5263155999999998
950, 12, 1.621051
950, 13, 0.9894739999999999
950, 14, 0.8842095999999999
950, 15, 0.6105268
1000, 0, 100.0
1000, 1, 100.0
1000, 2, 99.84
1000, 3, 80.53999999999999
1000, 4, 57.339999999999996
1000, 5, 43.28
1000, 6, 29.0
1000, 7, 18.259999999999998
1000, 8, 11.299999999999999
1000, 9, 6.92
1000, 10, 3.4
1000, 11, 2.2399999999999998
1000, 12, 1.72
1000, 13, 1.04
1000, 14, 0.9799999999999999
1000, 15, 0.5599999999999999
