k, Time elapsed
0, 6.6
1, 6.6
2, 7.08
3, 6.6
4, 7.720000000000001
5, 6.760000000000001
6, 6.840000000000001
7, 7.6
8, 7.359999999999999
9, 7.4
10, 7.32
11, 7.12
12, 7.080000000000001
13, 7.44
14, 7.359999999999999
15, 7.2
