k, Jaccard Similarity
0, 100.0
1, 100.0
2, 75.67982
3, 52.89058
4, 36.22822
5, 22.84332
6, 13.17876
7, 7.286170000000001
8, 4.2889740000000005
9, 2.386804
10, 1.4372284
11, 0.9326951999999998
12, 0.6097783999999999
13, 0.32290399999999997
14, 0.0718132
15, 0.0
