Number of Hash Functions, k, Jaccard Similarity
1, 0, 100
1, 1, 100
1, 2, 100
1, 3, 100
1, 4, 100
1, 5, 100
1, 6, 100
1, 7, 0
1, 8, 0
1, 9, 0
1, 10, 0
1, 11, 100
1, 12, 0
1, 13, 100
1, 14, 0
1, 15, 0
1, 16, 0
1, 17, 0
1, 18, 0
1, 19, 0
1, 20, 100
