k, Time elapsed
0, 7.2
1, 6.4
2, 6.8
3, 6.6
4, 6.0
5, 7.0
6, 9.6
7, 6.8
8, 6.6
9, 6.4
10, 6.6
11, 6.6
12, 6.6
13, 7.2
14, 6.6
15, 6.4
