k, Jaccard Similarity
0, 100
1, 100
2, 99.422
3, 77.1772
4, 56.6986
5, 41.1392
6, 28
7, 17.5439
8, 10.0494
9, 5.21327
10, 2.94574
11, 1.53374
12, 0.917431
13, 0.458015
14, 0.30581
15, 0.153139
