NumberOfHashFunctions, k, JaccardSimilarity
800, 14, 0.85
800, 15, 0.5
850, 0, 100.0
850, 1, 100.0
850, 2, 99.71764
850, 3, 80.04704
850, 4, 57.1294
850, 5, 42.89412
850, 6, 28.611740000000005
850, 7, 17.64708
850, 8, 9.811755999999999
850, 9, 5.764706
850, 10, 4.258824
850, 11, 1.6000001999999998
850, 12, 1.7647055999999999
850, 13, 0.77647
850, 14, 0.588235
850, 15, 0.3294116
900, 0, 100.0
900, 1, 100.0
900, 2, 99.66666000000001
900, 3, 78.99998000000001
900, 4, 57.04446
900, 5, 43.08888
900, 6, 28.511080000000003
900, 7, 18.4
900, 8, 10.666664
900, 9, 6.022222
900, 10, 3.911112
900, 11, 2.244446
900, 12, 1.0888887999999999
900, 13, 0.9111108
900, 14, 0.7333332
900, 15, 0.22222220000000004
950, 0, 100.0
950, 1, 100.0
950, 2, 99.87368000000001
950, 3, 78.92633999999998
950, 4, 58.357899999999994
950, 5, 42.77894
950, 6, 28.989459999999998
950, 7, 18.73684
950, 8, 11.410540000000001
950, 9, 5.57895
950, 10, 4.021052
950, 11, 1.85263
950, 12, 1.5789476
950, 13, 1.052631
950, 14, 0.7368426
950, 15, 0.2736839999999999
1000, 0, 100.0
1000, 1, 100.0
1000, 2, 99.7
1000, 3, 80.53999999999999
1000, 4, 58.15999999999999
1000, 5, 42.760000000000005
1000, 6, 28.22
1000, 7, 19.18
1000, 8, 11.08
1000, 9, 5.880000000000001
1000, 10, 3.8600000000000003
1000, 11, 2.06
1000, 12, 1.3199999999999998
1000, 13, 0.8799999999999999
1000, 14, 0.56
1000, 15, 0.26
