k, Time elapsed
0, 6.0
1, 6.2
2, 7.2
3, 6.4
4, 7.4
5, 7.4
6, 6.0
7, 7.4
8, 7.6
9, 6.8
10, 7.6
11, 6.2
12, 6.2
13, 6.4
14, 6.2
15, 6.8
