k, Jaccard Similarity
0, 100
1, 100
2, 100
3, 82.3529
4, 60.5392
5, 44.3966
6, 30.9942
7, 20.2873
8, 12.4579
9, 7.94165
10, 5.39683
11, 3.76176
12, 2.48447
13, 1.85759
14, 1.39104
15, 0.925926
