k, Jaccard Similarity
0, 100
1, 100
2, 100
3, 96.3022
4, 83.6392
5, 62.322
6, 40.4795
7, 26.0986
8, 16.7251
9, 10.2969
10, 6.16341
11, 3.5014
12, 1.90891
13, 1.0143
14, 0.508051
15, 0.238104
16, 0.111736
17, 0.0501477
18, 0.0208549
19, 0.00817888
20, 0.00403158
