k, Time elapsed
0, 6.2
1, 6.2
2, 7.0
3, 7.2
4, 6.8
5, 6.8
6, 7.2
7, 7.0
8, 7.2
9, 9.6
10, 9.0
11, 8.4
12, 8.0
13, 6.6
14, 7.0
15, 6.6
